league,conference,division,position,team,won,lost,ties,points,records,streak,ncaa_conference
"{'id': 1, 'name': 'NFL', 'season': 2024, 'logo': 'https://media.api-sports.io/american-football/leagues/1.png', 'country': {'name': 'USA', 'code': 'US', 'flag': 'https://media.api-sports.io/flags/us.svg'}}",American Football Conference,AFC East,1,"{'id': 20, 'name': 'Buffalo Bills', 'logo': 'https://media.api-sports.io/american-football/teams/20.png'}",13,4,0,"{'for': 525, 'against': 368, 'difference': 157}","{'home': '8-0', 'road': '5-4', 'conference': '9-3', 'division': '5-1'}",L1,"{'won': None, 'lost': None, 'points': {'for': None, 'against': None}}"
"{'id': 1, 'name': 'NFL', 'season': 2024, 'logo': 'https://media.api-sports.io/american-football/leagues/1.png', 'country': {'name': 'USA', 'code': 'US', 'flag': 'https://media.api-sports.io/flags/us.svg'}}",American Football Conference,AFC East,2,"{'id': 25, 'name': 'Miami Dolphins', 'logo': 'https://media.api-sports.io/american-football/teams/25.png'}",8,9,0,"{'for': 345, 'against': 364, 'difference': -19}","{'home': '5-3', 'road': '3-6', 'conference': '6-6', 'division': '3-3'}",L1,"{'won': None, 'lost': None, 'points': {'for': None, 'against': None}}"
"{'id': 1, 'name': 'NFL', 'season': 2024, 'logo': 'https://media.api-sports.io/american-football/leagues/1.png', 'country': {'name': 'USA', 'code': 'US', 'flag': 'https://media.api-sports.io/flags/us.svg'}}",American Football Conference,AFC East,3,"{'id': 13, 'name': 'New York Jets', 'logo': 'https://media.api-sports.io/american-football/teams/13.png'}",5,12,0,"{'for': 338, 'against': 404, 'difference': -66}","{'home': '3-5', 'road': '2-7', 'conference': '5-7', 'division': '2-4'}",W1,"{'won': None, 'lost': None, 'points': {'for': None, 'against': None}}"
"{'id': 1, 'name': 'NFL', 'season': 2024, 'logo': 'https://media.api-sports.io/american-football/leagues/1.png', 'country': {'name': 'USA', 'code': 'US', 'flag': 'https://media.api-sports.io/flags/us.svg'}}",American Football Conference,AFC East,4,"{'id': 3, 'name': 'New England Patriots', 'logo': 'https://media.api-sports.io/american-football/teams/3.png'}",4,13,0,"{'for': 289, 'against': 417, 'difference': -128}","{'home': '2-6', 'road': '2-7', 'conference': '3-9', 'division': '2-4'}",W1,"{'won': None, 'lost': None, 'points': {'for': None, 'against': None}}"
"{'id': 1, 'name': 'NFL', 'season': 2024, 'logo': 'https://media.api-sports.io/american-football/leagues/1.png', 'country': {'name': 'USA', 'code': 'US', 'flag': 'https://media.api-sports.io/flags/us.svg'}}",American Football Conference,AFC North,1,"{'id': 5, 'name': 'Baltimore Ravens', 'logo': 'https://media.api-sports.io/american-football/teams/5.png'}",12,5,0,"{'for': 518, 'against': 361, 'difference': 157}","{'home': '6-2', 'road': '6-3', 'conference': '8-4', 'division': '4-2'}",W4,"{'won': None, 'lost': None, 'points': {'for': None, 'against': None}}"
"{'id': 1, 'name': 'NFL', 'season': 2024, 'logo': 'https://media.api-sports.io/american-football/leagues/1.png', 'country': {'name': 'USA', 'code': 'US', 'flag': 'https://media.api-sports.io/flags/us.svg'}}",American Football Conference,AFC North,2,"{'id': 22, 'name': 'Pittsburgh Steelers', 'logo': 'https://media.api-sports.io/american-football/teams/22.png'}",10,7,0,"{'for': 380, 'against': 347, 'difference': 33}","{'home': '5-3', 'road': '5-4', 'conference': '7-5', 'division': '3-3'}",L4,"{'won': None, 'lost': None, 'points': {'for': None, 'against': None}}"
"{'id': 1, 'name': 'NFL', 'season': 2024, 'logo': 'https://media.api-sports.io/american-football/leagues/1.png', 'country': {'name': 'USA', 'code': 'US', 'flag': 'https://media.api-sports.io/flags/us.svg'}}",American Football Conference,AFC North,3,"{'id': 10, 'name': 'Cincinnati Bengals', 'logo': 'https://media.api-sports.io/american-football/teams/10.png'}",9,8,0,"{'for': 472, 'against': 434, 'difference': 38}","{'home': '3-5', 'road': '6-3', 'conference': '6-6', 'division': '3-3'}",W5,"{'won': None, 'lost': None, 'points': {'for': None, 'against': None}}"
"{'id': 1, 'name': 'NFL', 'season': 2024, 'logo': 'https://media.api-sports.io/american-football/leagues/1.png', 'country': {'name': 'USA', 'code': 'US', 'flag': 'https://media.api-sports.io/flags/us.svg'}}",American Football Conference,AFC North,4,"{'id': 9, 'name': 'Cleveland Browns', 'logo': 'https://media.api-sports.io/american-football/teams/9.png'}",3,14,0,"{'for': 258, 'against': 435, 'difference': -177}","{'home': '2-6', 'road': '1-8', 'conference': '3-9', 'division': '2-4'}",L6,"{'won': None, 'lost': None, 'points': {'for': None, 'against': None}}"
"{'id': 1, 'name': 'NFL', 'season': 2024, 'logo': 'https://media.api-sports.io/american-football/leagues/1.png', 'country': {'name': 'USA', 'code': 'US', 'flag': 'https://media.api-sports.io/flags/us.svg'}}",American Football Conference,AFC South,1,"{'id': 26, 'name': 'Houston Texans', 'logo': 'https://media.api-sports.io/american-football/teams/26.png'}",10,7,0,"{'for': 372, 'against': 372, 'difference': 0}","{'home': '5-3', 'road': '5-4', 'conference': '8-4', 'division': '5-1'}",W1,"{'won': None, 'lost': None, 'points': {'for': None, 'against': None}}"
"{'id': 1, 'name': 'NFL', 'season': 2024, 'logo': 'https://media.api-sports.io/american-football/leagues/1.png', 'country': {'name': 'USA', 'code': 'US', 'flag': 'https://media.api-sports.io/flags/us.svg'}}",American Football Conference,AFC South,2,"{'id': 21, 'name': 'Indianapolis Colts', 'logo': 'https://media.api-sports.io/american-football/teams/21.png'}",8,9,0,"{'for': 377, 'against': 427, 'difference': -50}","{'home': '5-3', 'road': '3-6', 'conference': '7-5', 'division': '3-3'}",W1,"{'won': None, 'lost': None, 'points': {'for': None, 'against': None}}"
